customer_id,age,income,tenure_months,city,plan,is_active,signup_date,churned
C00000,65.0,34016.45,44,city_0,pro,False,2020-06-16,no
C00001,22.0,37275.63,37,city_0,basic,True,2023-06-12,yes
C00002,,34728.78,102,city_22,pro,True,2023-12-25,no
C00003,72.0,13617.18,27,city_25,basic,True,2020-10-04,yes
C00004,21.0,37276.08,82,city_11,basic,True,2021-07-10,no
C00005,,53430.96,115,city_0,enterprise,False,2023-10-12,no
C00006,41.0,48060.64,72,city_15,pro,False,2021-05-05,no
C00007,57.0,32749.11,45,city_32,basic,True,2020-05-21,yes
C00008,46.0,61851.03,12,city_38,pro,True,2024-01-11,yes
C00009,32.0,32426.59,82,city_21,pro,True,2021-05-05,no
C00010,41.0,17937.22,45,city_21,pro,True,2021-10-11,yes
C00011,26.0,61625.33,3,city_26,pro,False,2022-04-13,no
C00012,43.0,22477.0,83,city_22,pro,True,2020-11-24,no
C00013,64.0,28416.87,79,city_16,basic,True,2021-03-20,no
C00014,60.0,51708.41,54,city_23,basic,True,2023-04-01,no
C00015,,23091.87,52,city_31,enterprise,True,2020-12-27,no
C00016,,17696.31,17,city_10,enterprise,False,2021-01-06,yes
C00017,57.0,19434.17,64,city_4,basic,False,2020-05-12,yes
C00018,56.0,85815.44,111,city_14,basic,True,2023-12-17,no
C00019,22.0,90733.79,95,city_35,basic,True,2022-07-20,no
C00020,66.0,19243.39,71,city_18,basic,True,2023-02-21,yes
C00021,25.0,29885.39,87,city_5,basic,False,2021-08-10,yes
C00022,62.0,14457.58,46,city_35,basic,False,2023-04-19,yes
C00023,18.0,20235.77,90,city_7,basic,True,2023-07-27,yes
C00024,29.0,102066.24,105,city_32,basic,True,2022-10-15,no
C00025,73.0,53508.4,93,city_15,pro,True,2022-08-07,no
C00026,24.0,,107,city_15,basic,True,2020-07-28,no
C00027,37.0,39443.59,102,city_25,enterprise,False,2022-06-23,no
C00028,62.0,,54,city_6,basic,True,2022-03-16,yes
C00029,23.0,58593.76,99,city_23,enterprise,True,2023-02-27,no
C00030,74.0,29050.51,8,city_21,pro,True,2024-01-22,yes
C00031,42.0,40052.27,74,city_35,enterprise,True,2022-11-27,no
C00032,73.0,56329.95,19,city_38,basic,True,2024-01-20,yes
C00033,,37272.26,2,city_9,basic,True,2021-03-25,yes
C00034,66.0,41515.19,62,city_22,pro,True,2022-03-09,no
C00035,18.0,30562.76,114,city_14,basic,True,2021-02-08,yes
C00036,52.0,45361.42,119,city_8,basic,True,2021-05-01,no
C00037,74.0,44298.2,45,city_39,pro,True,2020-07-01,no
C00038,,18412.35,18,city_16,basic,True,2020-09-10,yes
C00039,32.0,48272.94,86,city_8,pro,False,2023-06-23,yes
C00040,56.0,46611.07,52,city_28,basic,True,2020-02-10,no
C00041,22.0,44115.29,44,city_39,pro,True,2021-10-03,yes
C00042,64.0,50917.71,57,city_12,pro,True,2020-05-18,no
C00043,27.0,71112.54,113,city_16,enterprise,False,2022-06-08,no
C00044,41.0,34402.7,96,city_9,basic,False,2020-04-01,yes
C00045,53.0,43845.04,51,city_10,,True,2023-12-20,no
C00046,21.0,31215.98,95,city_15,basic,True,2020-06-23,yes
C00047,26.0,21464.9,100,city_25,enterprise,True,2023-10-25,no
C00048,37.0,,23,city_37,,True,2022-01-05,yes
C00049,66.0,44951.67,20,city_34,pro,False,2022-11-04,yes
C00050,19.0,39909.04,25,city_13,basic,True,2022-10-11,yes
C00051,18.0,54759.77,3,city_5,enterprise,True,2022-03-20,no
C00052,,17941.71,76,city_29,,False,2023-12-24,yes
C00053,72.0,112446.76,67,city_11,pro,False,2021-09-01,no
C00054,49.0,18616.74,71,city_19,basic,True,2021-09-22,yes
C00055,47.0,40505.99,43,city_24,enterprise,False,2020-05-07,no
C00056,62.0,,91,city_38,basic,True,2021-01-25,no
C00057,46.0,21641.66,62,city_20,pro,False,2021-12-04,no
C00058,25.0,,80,city_34,pro,True,2022-05-11,no
C00059,41.0,71427.14,75,city_29,basic,False,2023-12-10,no
C00060,28.0,12931.82,31,city_27,basic,True,2020-12-08,yes
C00061,59.0,24224.28,16,city_27,basic,False,2021-04-03,yes
C00062,53.0,39301.29,38,city_23,pro,True,2023-11-30,no
C00063,18.0,25986.61,4,city_17,basic,False,2020-07-28,yes
C00064,,13186.77,3,city_24,basic,True,2023-06-01,yes
C00065,41.0,,90,city_14,,True,2021-07-11,yes
C00066,46.0,,78,city_8,basic,True,2020-01-20,yes
C00067,73.0,70060.71,52,city_38,basic,True,2024-01-23,yes
C00068,50.0,8235.18,19,city_13,basic,False,2023-03-15,yes
C00069,39.0,,24,city_2,pro,True,2024-01-21,yes
C00070,54.0,74026.25,3,city_7,pro,True,2021-01-21,yes
C00071,53.0,142289.24,76,city_18,enterprise,False,2020-12-27,no
C00072,51.0,79049.93,50,city_3,pro,False,2022-11-26,no
C00073,,39659.19,17,city_1,pro,True,2022-03-16,yes
C00074,45.0,28856.67,70,city_39,basic,True,2022-11-19,no
C00075,51.0,23693.58,9,city_38,,True,2023-10-25,yes
C00076,37.0,,109,city_8,basic,True,2023-10-01,yes
C00077,45.0,11218.92,27,city_5,basic,True,2021-07-13,yes
C00078,22.0,,13,city_3,basic,True,2021-10-18,yes
C00079,37.0,36717.38,119,city_39,pro,True,2021-01-26,no
C00080,51.0,6188.35,38,city_4,basic,True,2022-02-16,yes
C00081,48.0,,79,city_4,basic,False,2021-06-02,yes
C00082,55.0,47254.58,79,city_23,basic,False,2021-12-10,no
C00083,27.0,51242.46,98,city_16,enterprise,True,2023-05-02,no
C00084,47.0,55073.94,13,city_0,basic,False,2021-07-03,yes
C00085,35.0,32836.97,68,city_0,enterprise,True,2020-12-09,no
C00086,49.0,41961.99,43,city_21,enterprise,False,2022-05-01,no
C00087,20.0,33539.79,108,city_24,pro,False,2020-07-10,no
C00088,37.0,62167.6,30,city_27,enterprise,True,2022-09-03,no
C00089,68.0,65237.69,81,city_20,enterprise,False,2023-07-07,no
C00090,36.0,36037.93,5,city_26,pro,False,2021-06-18,yes
C00091,39.0,79787.02,12,city_18,pro,True,2020-10-19,no
C00092,73.0,46843.59,40,city_6,basic,True,2020-01-29,no
C00093,21.0,13176.18,85,city_35,basic,True,2021-03-26,yes
C00094,29.0,32729.28,40,city_3,basic,True,2020-02-15,yes
C00095,65.0,24969.09,73,city_7,basic,True,2020-09-12,yes
C00096,,45908.06,30,city_21,pro,True,2021-07-08,yes
C00097,30.0,24385.37,58,city_8,,False,2022-07-07,yes
C00098,47.0,,114,city_21,pro,True,2023-10-18,no
C00099,61.0,52390.87,3,city_18,basic,True,2020-10-14,yes
C00100,59.0,39805.48,59,city_5,pro,False,2020-07-23,no
C00101,27.0,,36,city_19,basic,True,2022-05-06,yes
C00102,30.0,49793.55,119,city_24,basic,True,2023-03-17,yes
C00103,21.0,,20,city_12,pro,True,2020-07-05,yes
C00104,64.0,47474.29,102,city_16,basic,True,2023-06-09,no
