area_sqft,bedrooms,bathrooms,age_years,neighborhood,has_garage,price
2875.0,1,2,39,south,no,350318.0
1811.0,1,3,38,west,yes,289284.0
527.0,4,3,44,south,no,137789.0
1593.0,5,1,36,north,yes,264260.0
2922.0,3,2,22,south,yes,437134.0
1672.0,4,1,21,central,yes,303445.0
1048.0,3,2,46,north,yes,201622.0
1290.0,4,3,56,north,no,239335.0
2940.0,1,3,18,central,no,451794.0
3061.0,4,3,43,west,no,414550.0
3167.0,2,1,43,east,no,397405.0
1575.0,1,1,39,south,yes,174063.0
3962.0,3,1,41,north,no,512335.0
2503.0,1,3,50,central,no,340886.0
2157.0,3,1,53,west,no,297207.0
1151.0,3,2,13,west,yes,264885.0
773.0,2,1,5,central,yes,258199.0
2167.0,5,3,57,central,no,416795.0
2411.0,3,2,33,south,no,328173.0
2556.0,5,2,17,south,yes,409506.0
1848.0,5,2,14,south,yes,369286.0
1237.0,1,2,10,east,no,233365.0
2780.0,2,1,50,east,no,344242.0
786.0,1,3,39,south,yes,127421.0
2497.0,5,1,11,central,no,449924.0
2790.0,4,3,35,south,yes,410751.0
3758.0,2,1,8,south,yes,499081.0
1820.0,4,2,45,east,no,277885.0
3624.0,2,1,11,west,yes,498094.0
1628.0,5,3,19,north,yes,316624.0
,4,2,55,north,yes,295403.0
3489.0,1,3,22,west,yes,502336.0
,5,2,56,south,no,351885.0
2734.0,4,1,16,south,no,399076.0
3843.0,4,2,33,east,no,493041.0
2442.0,2,1,20,west,yes,392746.0
3160.0,4,3,28,west,no,457707.0
3415.0,1,3,24,south,yes,469588.0
3047.0,5,2,25,central,no,492029.0
1223.0,2,2,51,central,no,221612.0
,3,2,53,west,no,377682.0
2773.0,1,1,15,south,no,346452.0
,2,1,7,central,yes,342858.0
3974.0,2,3,18,east,no,579139.0
696.0,4,1,58,east,yes,150909.0
2700.0,2,1,35,east,no,384892.0
1921.0,4,2,8,east,yes,311180.0
3142.0,1,1,53,east,yes,444041.0
789.0,4,1,36,central,yes,221437.0
2049.0,1,2,30,south,no,269122.0
577.0,4,2,44,west,yes,132706.0
2169.0,4,2,29,west,yes,365016.0
2946.0,5,3,53,central,yes,508921.0
2661.0,1,3,54,east,no,329232.0
670.0,1,2,19,south,yes,165619.0
1801.0,5,1,13,west,no,308761.0
2613.0,3,3,35,south,yes,402039.0
527.0,1,2,51,north,yes,146500.0
2194.0,3,1,54,north,yes,267371.0
2114.0,3,1,3,north,yes,358274.0
3392.0,3,1,11,west,no,459939.0
518.0,3,2,40,west,no,135071.0
1897.0,4,1,56,east,yes,269717.0
3769.0,1,3,20,south,yes,540097.0
1975.0,5,3,45,west,no,330663.0
1470.0,4,3,11,central,no,304805.0
3240.0,4,2,10,west,yes,550926.0
3225.0,5,1,4,west,yes,483255.0
1842.0,3,3,35,west,no,297853.0
3930.0,4,2,38,west,no,510954.0
1570.0,2,3,38,south,no,194300.0
681.0,4,2,4,west,no,130747.0
2594.0,3,3,14,north,no,438025.0
3434.0,1,1,17,central,yes,487599.0
2447.0,4,2,29,central,yes,412617.0
842.0,5,3,52,south,yes,188995.0
573.0,4,3,15,north,yes,177805.0
1020.0,3,3,29,central,no,235265.0
,5,1,16,east,no,176205.0
1770.0,1,3,15,north,no,289289.0
1171.0,1,3,0,east,no,213736.0
2843.0,4,1,59,north,yes,394444.0
3952.0,3,1,18,west,yes,564736.0
1884.0,1,2,16,central,yes,334381.0
2621.0,4,2,46,east,no,357453.0
690.0,4,1,1,central,yes,187257.0
2868.0,4,2,28,north,no,460141.0
599.0,4,2,58,west,yes,167312.0
2991.0,4,2,52,east,yes,428896.0
2874.0,5,3,46,west,yes,435290.0
2468.0,1,1,6,west,no,379745.0
3560.0,4,1,59,central,yes,542337.0
3027.0,5,3,12,west,yes,475816.0
746.0,3,1,34,south,no,155625.0
3516.0,4,3,5,central,yes,524715.0
,3,1,41,north,yes,302331.0
1411.0,4,3,42,central,yes,325776.0
2584.0,4,2,4,south,no,404659.0
3998.0,4,3,14,east,no,549184.0
1323.0,1,2,4,south,yes,200586.0
1933.0,2,1,25,south,no,257509.0
1403.0,1,2,57,west,yes,193539.0
2891.0,3,1,54,south,yes,351256.0
3127.0,5,3,0,east,no,490786.0
1932.0,1,3,30,east,yes,290962.0
3670.0,1,1,4,south,yes,486417.0
3806.0,3,2,33,east,no,502033.0
2779.0,3,1,14,south,yes,442852.0
3404.0,3,1,13,central,yes,545257.0
3657.0,5,3,34,north,no,528107.0
2340.0,2,3,55,north,no,318915.0
2797.0,2,2,2,south,yes,396954.0
1043.0,5,3,34,south,no,181954.0
3050.0,2,1,32,central,no,387294.0
1526.0,5,2,39,south,no,233143.0
1645.0,4,2,1,north,yes,354790.0
2983.0,1,1,7,north,yes,436024.0
2277.0,1,1,6,south,yes,365963.0
1253.0,1,2,36,west,yes,225827.0
3406.0,5,2,16,south,yes,551416.0
2861.0,3,1,4,east,yes,375029.0
1644.0,1,2,49,west,yes,243388.0
1076.0,4,1,3,east,yes,258634.0
,4,1,44,central,yes,598769.0
1829.0,1,2,38,east,no,249862.0
742.0,1,3,12,north,yes,156996.0
1092.0,2,3,32,central,no,208491.0
,5,3,48,central,yes,516648.0
3485.0,4,1,9,west,yes,575361.0
1512.0,4,2,22,central,no,301888.0
1248.0,1,3,10,east,no,168496.0
2610.0,4,1,49,south,no,321008.0
785.0,5,2,46,south,no,155098.0
,1,2,43,west,no,200463.0
,5,2,0,central,no,534520.0
602.0,1,1,4,east,yes,100749.0
